text,book
همه کارت از یکدگر بدترست,sohrab
ترا شهریاری نه اندرخورست,sohrab
تو سهراب را زنده بر دار کن,sohrab
پرآشوب و بدخواه را خوار کن,sohrab
بزد تند یک دست بر دست طوس,sohrab
تو گفتی ز پیل ژیان یافت کوس,sohrab
ز بالا نگون اندرآمد به سر,sohrab
برو کرد رستم به تندی گذر,sohrab
به در شد به خشم اندرآمد به رخش,sohrab
منم گفت شیراوژن و تاج‌بخش,sohrab
چو خشم آورم شاه کاووس کیست,sohrab
چرا دست یازد به من طوس کیست,sohrab
زمین بنده و رخش گاه من‌ست,sohrab
نگین گرز و مغفر کلاه من‌ست,sohrab
شب تیره از تیغ رخشان کنم,sohrab
به آورد گه بر سرافشان کنم,sohrab
سر نیزه و تیغ یار من‌اند,sohrab
دو بازو و دل شهریار من‌اند,sohrab
چه آزاردم او نه من بنده‌ام,sohrab
یکی بندهٔ آفریننده‌ام,sohrab
به ایران ار ایدون که سهراب گرد,sohrab
بیاید نماند بزرگ و نه خرد,sohrab
شما هر کسی چارهٔ جان کنید,sohrab
خرد را بدین کار پیچان کنید,sohrab
به ایران نبینید ازین پس مرا,sohrab
شما را زمین پر کرگس مرا,sohrab
غمی شد دل نامداران همه,sohrab
که رستم شبان بود و ایشان رمه,sohrab
به گودرز گفتند کاین کار تست,sohrab
شکسته بدست تو گردد درست,sohrab
سپهبد جز از تو سخن نشنود,sohrab
همی بخت تو زین سخن نغنود,sohrab
به نزدیک این شاه دیوانه رو,sohrab
وزین در سخن یاد کن نو به نو,sohrab
سخنهای چرب و دراز آوری,sohrab
مگر بخت گم بوده بازآوری,sohrab
سپهدار گودرز کشواد رفت,sohrab
به نزدیک خسرو خرامید تفت,sohrab
به کاووس کی گفت رستم چه کرد,sohrab
کز ایران برآوردی امروز گرد,sohrab
فراموش کردی ز هاماوران,sohrab
وزان کار دیوان مازندران,sohrab
که گویی ورا زنده بر دار کن,sohrab
ز شاهان نباید گزافه سخن,sohrab
چو او رفت و آمد سپاهی بزرگ,sohrab
یکی پهلوانی به کردار گرگ,sohrab
که داری که با او به دشت نبرد,sohrab
شود برفشاند برو تیره گرد,sohrab
یلان ترا سر به سر گژدهم,sohrab
شنیدست و دیدست از بیش و کم,sohrab
همی گوید آن روز هرگز مباد,sohrab
که با او سواری کند رزم یاد,sohrab
کسی را که جنگی چو رستم بود,sohrab
بیازارد او را خرد کم بود,sohrab
چو بشنید گفتار گودرز شاه,sohrab
بدانست کاو دارد آیین و راه,sohrab
پشیمان بشد زان کجا گفته بود,sohrab
بیهودگی مغزش آشفته بود,sohrab
به گودرز گفت این سخن درخورست,sohrab
لب پیر با پند نیکوترست,sohrab
خردمند باید دل پادشا,sohrab
که تیزی و تندی نیارد بها,sohrab
شما را بباید بر او شدن,sohrab
به خوبی بسی داستانها زدن,sohrab
سرش کردن از تیزی من تهی,sohrab
نمودن بدو روزگار بهی,sohrab
چو گودرز برخاست از پیش اوی,sohrab
پس پهلوان تیز بنهاد روی,sohrab
برفتند با او سران سپاه,sohrab
پس رستم اندر گرفتند راه,sohrab
چو دیدند گرد گو پیلتن,sohrab
همه نامداران شدند انجمن,sohrab
ستایش گرفتند بر پهلوان,sohrab
که جاوید بادی و روشن‌روان,sohrab
جهان سر به سر زیر پای تو باد,sohrab
همیشه سر تخت جای تو باد,sohrab
تو دانی که کاووس را مغز نیست,sohrab
به تیزی سخن گفتنش نغز نیست,sohrab
بجوشد همانگه پشیمان شود,sohrab
به خوبی ز سر باز پیمان شود,sohrab
تهمتن گر آزرده گردد ز شاه,sohrab
هم ایرانیان را نباشد گناه,sohrab
هم او زان سخنها پشیمان شدست,sohrab
ز تندی بخاید همی پشت دست,sohrab
تهمتن چنین پاسخ آورد باز,sohrab
که هستم ز کاووس کی بی‌نیاز,sohrab
مرا تخت زین باشد و تاج ترگ,sohrab
قبا جوشن و دل نهاده به مرگ,sohrab
چرا دارم از خشم کاووس باک,sohrab
چه کاووس پیشم چه یک مشت خاک,sohrab
سرم گشت سیر و دلم کرد بس,sohrab
جز از پاک یزدان نترسم ز کس,sohrab
ز گفتار چون سیر گشت انجمن,sohrab
چنین گفت گودرز با پیلتن,sohrab
که شهر و دلیران و لشکر گمان,sohrab
به دیگر سخنها برند این زمان,sohrab
کزین ترک ترسنده شد سرفراز,sohrab
همی رفت زین گونه چندی به راز,sohrab
که چونان که گژدهم داد آگهی,sohrab
همه بوم و بر کرد باید تهی,sohrab
چو رستم همی زو بترسد به جنگ,sohrab
مرا و ترا نیست جای درنگ,sohrab
از آشفتن شاه و پیگار اوی,sohrab
بدیدم بدرگاه بر گفت‌وگوی,sohrab
ز سهراب یل رفت یکسر سخن,sohrab
چنین پشت بر شاه ایران مکن,sohrab
چنین بر شده نامت اندر جهان,sohrab
بدین بازگشتن مگردان نهان,sohrab
و دیگر که تنگ اندرآمد سپاه,sohrab
مکن تیره بر خیره این تاج و گاه,sohrab
به رستم بر این داستانها بخواند,sohrab
تهمتن چو بشنید خیره بماند,sohrab
بدو گفت اگر بیم دارد دلم,sohrab
نخواهم که باشد ز تن بگسلم,sohrab
ازین ننگ برگشت و آمد به راه,sohrab
گرازان و پویان به نزدیک شاه,sohrab
چو در شد ز در شاه بر پای خاست,sohrab
بسی پوزش اندر گذشته بخواست,sohrab
که تندی مرا گوهرست و سرشت,sohrab
چنان زیست باید که یزدان بکشت,sohrab
وزین ناسگالیده بدخواه نو,sohrab
دلم گشت باریک چون ماه نو,sohrab
بدین چاره جستن ترا خواستم,sohrab
چو دیر آمدی تندی آراستم,sohrab
چو آزرده گشتی تو ای پیلتن,sohrab
پشیمان شدم خاکم اندر دهن,sohrab
بدو گفت رستم که گیهان تراست,sohrab
همه کهترانیم و فرمان تراست,sohrab
کنون آمدم تا چه فرمان دهی,sohrab
روانت ز دانش مبادا تهی,sohrab
بدو گفت کاووس کامروز بزم,sohrab
گزینیم و فردا بسازیم رزم,sohrab
بیاراست رامشگهی شاهوار,sohrab
شد ایوان به کردار باغ بهار,sohrab
ز آواز ابریشم و بانگ نای,sohrab
سمن عارضان پیش خسرو به پای,sohrab
همی باده خوردند تا نیم شب,sohrab
ز خنیاگران برگشاده دولب,sohrab
*بخش ۱*,rostam esfandiar
کنون خورد باید می خوشگوار,rostam esfandiar
که می‌بوی مشک آید از جویبار,rostam esfandiar
هوا پر خروش و زمین پر ز جوش,rostam esfandiar
خنک آنک دل شاد دارد به نوش,rostam esfandiar
درم دارد و نقل و جام نبید,rostam esfandiar
سر گوسفندی تواند برید,rostam esfandiar
مرا نیست فرخ مر آن را که هست,rostam esfandiar
ببخشای بر مردم تنگدست,rostam esfandiar
همه بوستان زیر برگ گلست,rostam esfandiar
همه کوه پرلاله و سنبلست,rostam esfandiar
به پالیز بلبل بنالد همی,rostam esfandiar
گل از نالهٔ او ببالد همی,rostam esfandiar
چو از ابر بینم همی باد و نم,rostam esfandiar
ندانم که نرگس چرا شد دژم,rostam esfandiar
شب تیره بلبل نخسپد همی,rostam esfandiar
گل از باد و باران بجنبد همی,rostam esfandiar
بخندد همی بلبل از هر دوان,rostam esfandiar
چو بر گل نشیند گشاید زبان,rostam esfandiar
ندانم که عاشق گل آمد گر ابر,rostam esfandiar
چو از ابر بینم خروش هژبر,rostam esfandiar
بدرد همی باد پیراهنش,rostam esfandiar
درفشان شود آتش اندر تنش,rostam esfandiar
به عشق هوا بر زمین شد گوا,rostam esfandiar
به نزدیک خورشید فرمانروا,rostam esfandiar
که داند که بلبل چه گوید همی,rostam esfandiar
به زیر گل اندر چه موید همی,rostam esfandiar
نگه کن سحرگاه تا بشنوی,rostam esfandiar
ز بلبل سخن گفتنی پهلوی,rostam esfandiar
همی نالد از مرگ اسفندیار,rostam esfandiar
ندارد به جز ناله زو یادگار,rostam esfandiar
چو آواز رستم شب تیره ابر,rostam esfandiar
بدرد دل و گوش غران هژبر,rostam esfandiar
*بخش ۲*,rostam esfandiar
ز بلبل شنیدم یکی داستان,rostam esfandiar
که برخواند از گفتهٔ باستان,rostam esfandiar
که چون مست باز آمد اسفندیار,rostam esfandiar
دژم گشته از خانهٔ شهریار,rostam esfandiar
کتایون قیصر که بد مادرش,rostam esfandiar
گرفته شب و روز اندر برش,rostam esfandiar
چو از خواب بیدار شد تیره شب,rostam esfandiar
یکی جام می خواست و بگشاد لب,rostam esfandiar
چنین گفت با مادر اسفندیار,rostam esfandiar
که با من همی بد کند شهریار,rostam esfandiar
مرا گفت چون کین لهراسپ شاه,rostam esfandiar
بخواهی به مردی ز ارجاسپ شاه,rostam esfandiar
همان خواهران را بیاری ز بند,rostam esfandiar
کنی نام ما را به گیتی بلند,rostam esfandiar
جهان از بدان پاک بی‌خو کنی,rostam esfandiar
بکوشی و آرایشی نو کنی,rostam esfandiar
همه پادشاهی و لشکر تراست,rostam esfandiar
همان گنج با تخت و افسر تراست,rostam esfandiar
کنون چون برآرد سپهر آفتاب,rostam esfandiar
سر شاه بیدار گردد ز خواب,rostam esfandiar
بگویم پدر را سخنها که گفت,rostam esfandiar
ندارد ز من راستیها نهفت,rostam esfandiar
وگر هیچ تاب اندر آرد به چهر,rostam esfandiar
به یزدان که بر پای دارد سپهر,rostam esfandiar
که بی‌کام او تاج بر سر نهم,rostam esfandiar
همه کشور ایرانیان را دهم,rostam esfandiar
ترا بانوی شهر ایران کنم,rostam esfandiar
به زور و به دل جنگ شیران کنم,rostam esfandiar
غمی شد ز گفتار او مادرش,rostam esfandiar
همه پرنیان خار شد بر برش,rostam esfandiar
بدانست کان تاج و تخت و کلاه,rostam esfandiar
نبخشد ورا نامبردار شاه,rostam esfandiar
بدو گفت کای رنج دیده پسر,rostam esfandiar
ز گیتی چه جوید دل تاجور,rostam esfandiar
مگر گنج و فرمان و رای و سپاه,rostam esfandiar
تو داری برین بر فزونی مخواه,rostam esfandiar
یکی تاج دارد پدر بر پسر,rostam esfandiar
تو داری دگر لشکر و بوم و بر,rostam esfandiar
چو او بگذرد تاج و تختش تراست,rostam esfandiar
بزرگی و شاهی و بختش تراست,rostam esfandiar
چه نیکوتر از نره شیر ژیان,rostam esfandiar
به پیش پدر بر کمر بر میان,rostam esfandiar
چنین گفت با مادر اسفندیار,rostam esfandiar
که نیکو زد این داستان هوشیار,rostam esfandiar
که پیش زنان راز هرگز مگوی,rostam esfandiar
چو گویی سخن بازیابی بکوی,rostam esfandiar
مکن هیچ کاری به فرمان زن,rostam esfandiar
که هرگز نبینی زنی رای زن,rostam esfandiar
پر از شرم و تشویر شد مادرش,rostam esfandiar
ز گفته پشیمانی آمد برش,rostam esfandiar
بشد پیش گشتاسپ اسفندیار,rostam esfandiar
همی بود به آرامش و میگسار,rostam esfandiar
دو روز و دو شب بادهٔ خام خورد,rostam esfandiar
بر ماهرویش دل آرام کرد,rostam esfandiar
سیم روز گشتاسپ آگاه شد,rostam esfandiar
که فرزند جویندهٔ گاه شد,rostam esfandiar
همی در دل اندیشه بفزایدش,rostam esfandiar
همی تاج و تخت آرزو آیدش,rostam esfandiar
بخواند آن زمان شاه جاماسپ را,rostam esfandiar
همان فال گویان لهراسپ را,rostam esfandiar
برفتند با زیجها برکنار,rostam esfandiar
بپرسید شاه از گو اسفندیار,rostam esfandiar
که او را بود زندگانی دراز,rostam esfandiar
نشیند به شادی و آرام و ناز,rostam esfandiar
به سر بر نهد تاج شاهنشهی,rostam esfandiar
برو پای دارد بهی و مهی,rostam esfandiar
چو بشنید دانای ایران سخن,rostam esfandiar
نگه کرد آن زیجهای کهن,rostam esfandiar
ز دانش بروها پر از تاب کرد,rostam esfandiar
ز تیمار مژگان پر از آب کرد,rostam esfandiar
همی گفت بد روز و بد اخترم,rostam esfandiar
ببارید آتش همی بر سرم,rostam esfandiar
مرا کاشکی پیش فرخ زریر,rostam esfandiar
زمانه فگندی به چنگال شیر,rostam esfandiar
وگر خود نکشتی پدر مر مرا,rostam esfandiar
نگشتی به جاماسپ بداخترا,rostam esfandiar
ورا هم ندیدی به خاک اندرون,rostam esfandiar
بران سان فگنده پیش پر ز خون,rostam esfandiar
چو اسفندیاری که از چنگ اوی,rostam esfandiar
بدرد دل شیر ز آهنگ اوی,rostam esfandiar
ز دشمن جهان سربسر پاک کرد,rostam esfandiar
به رزم اندرون نیستش هم نبرد,rostam esfandiar
جهان از بداندیش بی‌بیم کرد,rostam esfandiar
تن اژدها را به دو نیم کرد,rostam esfandiar
ازاین پس غم او بباید کشید,rostam esfandiar
بسی شور و تلخی بباید چشید,rostam esfandiar
بدو گفت شاه ای پسندیده مرد,rostam esfandiar
سخن گوی وز راه دانش مگرد,rostam esfandiar
هلا زود بشتاب و با من بگوی,rostam esfandiar
کزین پرسشم تلخی آمد به روی,rostam esfandiar
گر او چون زریر سپهبد بود,rostam esfandiar
مرا زیستن زین سپس بد بود,rostam esfandiar
ورا در جهان هوش بر دست کیست,rostam esfandiar
کزان درد ما را بباید گریست,rostam esfandiar
بدو گفت جاماسپ کای شهریار,rostam esfandiar
تواین روز را خوار مایه مدار,rostam esfandiar
ورا هوش در زاولستان بود,rostam esfandiar
به دست تهم پور دستان بود,rostam esfandiar
به جاماسپ گفت آنگهی شهریار,rostam esfandiar
به من بر بگردد بد روزگار؟,rostam esfandiar
که گر من سر تاج شاهنشهی,rostam esfandiar
سپارم بدو تاج و تخت مهی,rostam esfandiar
نبیند بر و بوم زاولستان,rostam esfandiar
نداند کس او را به کاولستان,rostam esfandiar
شود ایمن از گردش روزگار؟,rostam esfandiar
بود اختر نیکش آموزگار؟,rostam esfandiar
چنین داد پاسخ ستاره شمر,rostam esfandiar
که بر چرخ گردان نیابد گذر,rostam esfandiar
ازین بر شده تیز چنگ اژدها,rostam esfandiar
به مردی و دانش که آمد رها,rostam esfandiar
بباشد همه بودنی بی‌گمان,rostam esfandiar
نجستست ازو مرد دانا زمان,rostam esfandiar
دل شاه زان در پراندیشه شد,rostam esfandiar
سرش را غم و درد هم پیشه شد,rostam esfandiar
بد اندیشه و گردش روزگار,rostam esfandiar
همی بر بدی بودش آموزگار,rostam esfandiar
*بخش ۳*,rostam esfandiar
چو بگذشت شب گرد کرده عنان,rostam esfandiar
برآورد خورشید رخشان سنان,rostam esfandiar
نشست از بر تخت زر شهریار,rostam esfandiar
بشد پیش او فرخ اسفندیار,rostam esfandiar
همی بود پیشش پرستارفش,rostam esfandiar
پراندیشه و دست کرده به کش,rostam esfandiar
چو در پیش او انجمن شد سپاه,rostam esfandiar
ز ناموران وز گردان شاه,rostam esfandiar
همه موبدان پیش او بر رده,rostam esfandiar
ز اسپهبدان پیش او صف زده,rostam esfandiar
پس اسفندیار آن یل پیلتن,rostam esfandiar
برآورد از درد آنگه سخن,rostam esfandiar
بدو گفت شاها انوشه بدی,rostam esfandiar
توی بر زمین فره ایزدی,rostam esfandiar
سر داد و مهر از تو پیدا شدست,rostam esfandiar
همان تاج و تخت از تو زیبا شدست,rostam esfandiar
تو شاهی پدر من ترا بنده‌ام,rostam esfandiar
همیشه به رای تو پوینده‌ام,rostam esfandiar
تو دانی که ارجاسپ از بهر دین,rostam esfandiar
بیامد چنان با سواران چین,rostam esfandiar
بخوردم من آن سخت سوگندها,rostam esfandiar
بپذرفتم آن ایزدی پندها,rostam esfandiar
که هرکس که آرد به دین در شکست,rostam esfandiar
دلش تاب گیرد شود بت‌پرست,rostam esfandiar
میانش به خنجر کنم به دو نیم,rostam esfandiar
نباشد مرا از کسی ترس و بیم,rostam esfandiar
وزان پس که ارجاسپ آمد به جنگ,rostam esfandiar
نبر گشتم از جنگ دشتی پلنگ,rostam esfandiar
مرا خوار کردی به گفت گرزم,rostam esfandiar
که جام خورش خواستی روز بزم,rostam esfandiar
ببستی تن من به بند گران,rostam esfandiar
ستونها و مسمار آهنگران,rostam esfandiar
سوی گنبدان دژ فرستادیم,rostam esfandiar
ز خواری به بدکارگان دادیم,rostam esfandiar
به زاول شدی بلخ بگذاشتی,rostam esfandiar
همه رزم را بزم پنداشتی,rostam esfandiar
بدیدی همی تیغ ارجاسپ را,rostam esfandiar
فگندی به خون پیر لهراسپ را,rostam esfandiar
چو جاماسپ آمد مرا بسته دید,rostam esfandiar
وزان بستگیها تنم خسته دید,rostam esfandiar
مرا پادشاهی پذیرفت و تخت,rostam esfandiar
بران نیز چندی بکوشید سخت,rostam esfandiar
بدو گفتم این بندهای گران,rostam esfandiar
به زنجیر و مسمار آهنگران,rostam esfandiar
بمانم چنین هم به فرمان شاه,rostam esfandiar
نخواهم سپاه و نخواهم کلاه,rostam esfandiar
به یزدان نمایم به روز شمار,rostam esfandiar
بنالم ز بدگوی با کردگار,rostam esfandiar
مرا گفت گر پند من نشنوی,rostam esfandiar
بسازی ابر تخت بر بدخوی,rostam esfandiar
دگر گفت کز خون چندان سران,rostam esfandiar
سرافراز با گرزهای گران,rostam esfandiar
بران رزمگه خسته تنها به تیر,rostam esfandiar
همان خواهرانت ببرده اسیر,rostam esfandiar
دگر گرد آزاده فرشیدورد,rostam esfandiar
فگندست خسته به دشت نبرد,rostam esfandiar
ز ترکان گریزان شده شهریار,rostam esfandiar
همی پیچد از بند اسفندیار,rostam esfandiar
نسوزد دلت بر چنین کارها,rostam esfandiar
بدین درد و تیمار و آزارها,rostam esfandiar
سخنها جزین نیز بسیار گفت,rostam esfandiar
که گفتار با درد و غم بود جفت,rostam esfandiar
غل و بند بر هم شکستم همه,rostam esfandiar
دوان آمدم نزد شاه رمه,rostam esfandiar
ازیشان بکشتم فزون از شمار,rostam esfandiar
ز کردار من شاد شد شهریار,rostam esfandiar
گر از هفتخوان برشمارم سخن,rostam esfandiar
همانا که هرگز نیاید به بن,rostam esfandiar
ز تن باز کردم سر ارجاسپ را,rostam esfandiar
برافراختم نام گشتاسپ را,rostam esfandiar
زن و کودکانش بدین بارگاه,rostam esfandiar
بیاوردم آن گنج و تخت و کلاه,rostam esfandiar
همه نیکویها بکردی به گنج,rostam esfandiar
مرا مایه خون آمد و درد و رنج,rostam esfandiar
ز بس بند و سوگند و پیمان تو,rostam esfandiar
همی نگذرم من ز فرمان تو,rostam esfandiar
همی گفتی ار باز بینم ترا,rostam esfandiar
ز روشن روان برگزینم ترا,rostam esfandiar
سپارم ترا افسر و تخت عاج,rostam esfandiar
که هستی به مردی سزاوار تاج,rostam esfandiar
مرا از بزرگان برین شرم خاست,rostam esfandiar
که گویند گنج و سپاهت کجاست,rostam esfandiar
بهانه کنون چیست من بر چیم,rostam esfandiar
پس از رنج پویان ز بهر کیم,rostam esfandiar
*بخش ۴*,rostam esfandiar
به فرزند پاسخ چنین داد شاه,rostam esfandiar
که از راستی بگذری نیست راه,rostam esfandiar
ازین بیش کردی که گفتی تو کار,rostam esfandiar
که یار تو بادا جهان کردگار,rostam esfandiar
نبینم همی دشمنی در جهان,rostam esfandiar
نه در آشکارا نه اندر نهان,rostam esfandiar
که نام تو یابد نه پیچان شود,rostam esfandiar
چه پیچان همانا که بیجان شود,rostam esfandiar
به گیتی نداری کسی را همال,rostam esfandiar
مگر بی‌خرد نامور پور زال,rostam esfandiar
که او راست تا هست زاولستان,rostam esfandiar
همان بست و غزنین و کاولستان,rostam esfandiar
به مردی همی ز آسمان بگذرد,rostam esfandiar
همی خویشتن کهتری نشمرد,rostam esfandiar
که بر پیش کاوس کی بنده بود,rostam esfandiar
ز کیخسرو اندر جهان زنده بود,rostam esfandiar
به شاهی ز گشتاسپ نارد سخن,rostam esfandiar
که او تاج نو دارد و ما کهن,rostam esfandiar
به گیتی مرا نیست کس هم نبرد,rostam esfandiar
ز رومی و توری و آزاد مرد,rostam esfandiar
سوی سیستان رفت باید کنون,rostam esfandiar
به کار آوری زور و بند و فسون,rostam esfandiar
برهنه کنی تیغ و گوپال را,rostam esfandiar
به بند آوری رستم زال را,rostam esfandiar
زواره فرامرز را همچنین,rostam esfandiar
نمانی که کس برنشیند به زین,rostam esfandiar
به دادار گیتی که او داد زور,rostam esfandiar
فروزندهٔ اختر و ماه و هور,rostam esfandiar
که چون این سخنها به جای آوری,rostam esfandiar
ز من نشنوی زین سپس داوری,rostam esfandiar
سپارم به تو تاج و تخت و کلاه,rostam esfandiar
نشانم بر تخت بر پیشگاه,rostam esfandiar
چنین پاسخ آوردش اسفندیار,rostam esfandiar
که ای پرهنر نامور شهریار,rostam esfandiar
همی دور مانی ز رستم کهن,rostam esfandiar
براندازه باید که رانی سخن,rostam esfandiar
تو با شاه چین جنگ جوی و نبرد,rostam esfandiar
ازان نامداران برانگیز گرد,rostam esfandiar
چه جویی نبرد یکی مرد پیر,rostam esfandiar
که کاوس خواندی ورا شیرگیر,rostam esfandiar
ز گاه منوچهر تا کیقباد,rostam esfandiar
دل شهریاران بدو بود شاد,rostam esfandiar
نکوکارتر زو به ایران کسی,rostam esfandiar
نبودست کاورد نیکی بسی,rostam esfandiar
همی خواندندش خداوند رخش,rostam esfandiar
جهانگیر و شیراوژن و تاج‌بخش,rostam esfandiar
نه اندر جهان نامداری نوست,rostam esfandiar
بزرگست و با عهد کیخسروست,rostam esfandiar
اگر عهد شاهان نباشد درست,rostam esfandiar
نباید ز گشتاسپ منشور جست,rostam esfandiar
چنین داد پاسخ به اسفندیار,rostam esfandiar
که ای شیر دل پرهنر نامدار,rostam esfandiar
هرانکس که از راه یزدان بگشت,rostam esfandiar
همان عهد او گشت چون باد دشت,rostam esfandiar
همانا شنیدی که کاوس شاه,rostam esfandiar
به فرمان ابلیس گم کرد راه,rostam esfandiar
همی باسمان شد به پر عقاب,rostam esfandiar
به زاری به ساری فتاد اندر آب,rostam esfandiar
ز هاماوران دیوزادی ببرد,rostam esfandiar
شبستان شاهی مر او را سپرد,rostam esfandiar
سیاوش به آزار او کشته شد,rostam esfandiar
همه دوده زیر و زبر گشته شد,rostam esfandiar
کسی کو ز عهد جهاندار گشت,rostam esfandiar
به گرد در او نشاید گذشت,rostam esfandiar
اگر تخت خواهی ز من با کلاه,rostam esfandiar
ره سیستان گیر و برکش سپاه,rostam esfandiar
چو آن‌جا رسی دست رستم ببند,rostam esfandiar
بیارش به بازو فگنده کمند,rostam esfandiar
زواره فرامرز و دستان سام,rostam esfandiar
نباید که سازند پیش تو دام,rostam esfandiar
پیاده دوانش بدین بارگاه,rostam esfandiar
بیاور کشان تا ببیند سپاه,rostam esfandiar
ازان پس نپیچد سر از ما کسی,rostam esfandiar
اگر کام اگر گنج یابد بسی,rostam esfandiar
سپهبد بروها پر از تاب کرد,rostam esfandiar
به شاه جهان گفت زین بازگرد,rostam esfandiar
ترا نیست دستان و رستم به کار,rostam esfandiar
همی راه جویی به اسفندیار,rostam esfandiar
دریغ آیدت جای شاهی همی,rostam esfandiar
مرا از جهان دور خواهی همی,rostam esfandiar
ترا باد این تخت و تاج کیان,rostam esfandiar
مرا گوشه‌ای بس بود زین جهان,rostam esfandiar
ولیکن ترا من یکی بنده‌ام,rostam esfandiar
به فرمان و رایت سرافگنده‌ام,rostam esfandiar
بدو گفت گشتاسپ تندی مکن,rostam esfandiar
بلندی بیابی نژندی مکن,rostam esfandiar
ز لشکر گزین کن فراوان سوار,rostam esfandiar
جهاندیدگان از در کارزار,rostam esfandiar
سلیح و سپاه و درم پیش تست,rostam esfandiar
نژندی به جان بداندیش تست,rostam esfandiar
چه باید مرا بی‌تو گنج و سپاه,rostam esfandiar
همان گنج و تخت و سپاه و کلاه,rostam esfandiar
چنین داد پاسخ یل اسفندیار,rostam esfandiar
که لشکر نیاید مرا خود به کار,rostam esfandiar
گر ایدونک آید زمانم فراز,rostam esfandiar
به لشکر ندارد جهاندار باز,rostam esfandiar
ز پیش پدر بازگشت او به تاب,rostam esfandiar
چه از پادشاهی چه از خشم باب,rostam esfandiar
به ایوان خویش اندر آمد دژم,rostam esfandiar
لبی پر ز باد و دلی پر ز غم,rostam esfandiar
*بخش ۵*,rostam esfandiar
کتایون چو بشنید شد پر ز خشم,rostam esfandiar
به پیش پسر شد پر از آب چشم,rostam esfandiar
چنین گفت با فرخ اسنفدیار,rostam esfandiar
که ای از کیان جهان یادگار,rostam esfandiar
ز بهمن شنیدم که از گلستان,rostam esfandiar
همی رفت خواهی به زابلستان,rostam esfandiar
ببندی همی رستم زال را,rostam esfandiar
خداوند شمشیر و گوپال را,rostam esfandiar
ز گیتی همی پند مادر نیوش,rostam esfandiar
به بد تیز مشتاب و چندین مکوش,rostam esfandiar
سواری که باشد به نیروی پیل,rostam esfandiar
ز خون رانداندر زمین جوی نیل,rostam esfandiar
بدرد جگرگاه دیو سپید,rostam esfandiar
ز شمشیر او گم کند راه شید,rostam esfandiar
همان ماه هاماوران را بکشت,rostam esfandiar
نیارست گفتن کس او را درشت,rostam esfandiar
همانا چو سهراب دیگر سوار,rostam esfandiar
نبودست جنگی گه کارزار,rostam esfandiar
به چنگ پدر در به هنگام جنگ,rostam esfandiar
به آوردگه کشته شد بی‌درنگ,rostam esfandiar
به کین سیاوش ز افراسیاب,rostam esfandiar
ز خون کرد گیتی چو دریای آب,rostam esfandiar
که نفرین برین تخت و این تاج باد,rostam esfandiar
برین کشتن و شور و تاراج باد,rostam esfandiar
مده از پی تاج سر را به باد,rostam esfandiar
که با تاج شاهی ز مادر نزاد,rostam esfandiar
پدر پیر سر گشت و برنا توی,rostam esfandiar
به زور و به مردی توانا توی,rostam esfandiar
سپه یکسره بر تو دارند چشم,rostam esfandiar
میفگن تن اندر بلایی به خشم,rostam esfandiar
جز از سیستان در جهان جای هست,rostam esfandiar
دلیری مکن تیز منمای دست,rostam esfandiar
مرا خاکسار دو گیتی مکن,rostam esfandiar
ازین مهربان مام بشنو سخن,rostam esfandiar
چنین پاسخ آوردش اسفندیار,rostam esfandiar
که ای مهربان این سخن یاددار,rostam esfandiar
همانست رستم که دانی همی,rostam esfandiar
هنرهاش چون زند خوانی همی,rostam esfandiar
نکوکارتر زو به ایران کسی,rostam esfandiar
نیابی و گر چند پویی بسی,rostam esfandiar
چو او را به بستن نباشد روا,rostam esfandiar
چنین بد نه خوب آید از پادشا,rostam esfandiar
ولیکن نباید شکستن دلم,rostam esfandiar
که چون بشکنی دل ز جان بگسلم,rostam esfandiar
چگونه کشم سر ز فرمان شاه,rostam esfandiar
چگونه گذارم چنین دستگاه,rostam esfandiar
مرا گر به زاول سرآید زمان,rostam esfandiar
بدان سو کشد اخترم بی‌گمان,rostam esfandiar
چو رستم بیاید به فرمان من,rostam esfandiar
ز من نشنود سرد هرگز سخن,rostam esfandiar
ببارید خون از مژه مادرش,rostam esfandiar
همه پاک بر کند موی از سرش,rostam esfandiar
بدو گفت کای زنده پیل ژیان,rostam esfandiar
همی خوار گیری ز نیرو روان,rostam esfandiar
نباشی بسنده تو با پیلتن,rostam esfandiar
از ایدر مرو بی یکی انجمن,rostam esfandiar
مبر پیش پیل ژیان هوش خویش,rostam esfandiar
نهاده بدین گونه بر دوش خویش,rostam esfandiar
اگر زین نشان رای تو رفتنست,rostam esfandiar
همه کام بدگوهر آهرمنست,rostam esfandiar
به دوزخ مبر کودکان را به پای,rostam esfandiar
که دانا بخواند ترا پاک رای,rostam esfandiar
به مادر چنین گفت پس جنگجوی,rostam esfandiar
که نابردن کودکان نیست روی,rostam esfandiar
چو با زن پس پرده باشد جوان,rostam esfandiar
بماند منش پست و تیره‌روان,rostam esfandiar
به هر رزمگه باید او را نگاه,rostam esfandiar
گذارد بهر زخم گوپال شاه,rostam esfandiar
مرا لشکری خود نیاید به کار,rostam esfandiar
جز از خویش و پیوند و چندی سوار,rostam esfandiar
ز پیش پسر مادر مهربان,rostam esfandiar
بیامد پر از درد و تیره‌روان,rostam esfandiar
همه شب ز مهر پسر مادرش,rostam esfandiar
ز دیده همی ریخت خون بر برش,rostam esfandiar
*بخش ۶*,rostam esfandiar
به شبگیر هنگام بانگ خروس,rostam esfandiar
